month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
1,21,7,,,,,,,,,0.0
1,21,7,,,,,,,,,0.0
1,21,7,,,,,,,,,0.0
1,21,7,,,,,,,,,0.0
1,22,7,,,,,,,,,0.0
1,22,7,,,,,,,,,0.0
1,22,7,,,,,,,,,0.0
1,22,7,,,,,,,,,0.0
1,23,7,,,,,,,,,0.0
1,23,7,,,,,,,,,0.0
1,23,7,,,,,,,,,0.0
1,23,7,,,,,,,,,0.0
1,24,7,,,,,,,,,0.0
1,24,7,,,,,,,,,0.0
1,24,7,,,,,,,,,0.0
1,24,7,,,,,,,,,0.0
1,1,1,,,,,,,,,0.0
1,1,1,,,,,,,,,0.0
1,1,1,,,,,,,,,0.0
1,1,1,,,,,,,,,0.0
1,2,1,,,,,,,,,0.0
1,2,1,,,,,,,,,0.0
1,2,1,,,,,,,,,0.0
1,2,1,,,,,,,,,0.0
1,3,1,,,,,,,,,0.0
1,3,1,,,,,,,,,0.0
1,3,1,,,,,,,,,0.0
1,3,1,,,,,,,,,0.0
1,4,1,,,,,,,,,0.0
1,4,1,,,,,,,,,0.0
1,4,1,,,,,,,,,0.0
1,4,1,,,,,,,,,0.0
1,5,1,,,,,,,,,0.0
1,5,1,,,,,,,,,0.0
1,5,1,,,,,,,,,0.0
1,5,1,,,,,,,,,0.0
1,6,1,,,,,,,,,0.0
1,6,1,,,,,,,,,0.0
1,6,1,,,,,,,,,0.0
1,6,1,,,,,,,,,0.0
1,7,1,,,,,,,,,0.0
1,7,1,,,,,,,,,0.0
1,7,1,,,,,,,,,0.0
1,7,1,,,,,,,,,0.0
1,8,1,,,,,,,,,0.0
1,8,1,,,,,,,,,0.0
1,8,1,,,,,,,,,0.0
1,8,1,,,,,,,,,0.0
1,9,1,,,,,,,,,0.0
1,9,1,,,,,,,,,0.005
1,9,1,,,,,,,,,0.075
1,9,1,,,,,,,,,0.3925
1,10,1,,,,,,,,,0.665
1,10,1,,,,,,,,,0.3775
1,10,1,,,,,,,,,0.6475
1,10,1,,,,,,,,,1.2175
1,11,1,,,,,,,,,1.8475
1,11,1,,,,,,,,,2.3375
1,11,1,,,,,,,,,1.2725
1,11,1,,,,,,,,,3.7475
1,12,1,,,,,,,,,2.3025
1,12,1,,,,,,,,,4.76
1,12,1,,,,,,,,,3.015
1,12,1,,,,,,,,,3.9275
1,13,1,,,,,,,,,5.3425
1,13,1,,,,,,,,,5.4925
1,13,1,,,,,,,,,5.5975
1,13,1,,,,,,,,,2.9975
1,14,1,,,,,,,,,2.525
1,14,1,,,,,,,,,5.28
1,14,1,,,,,,,,,5.2
1,14,1,,,,,,,,,4.455
1,15,1,,,,,,,,,3.67
