timestamp,Net Electricity Consumption-kWh,Non-shiftable Load-kWh,Non-shiftable Load Electricity Consumption-kWh,Energy Production from PV-kWh
2025-02-09T18:45:00,6.62833309173584,6.75,6.75,-0.12166666984558105
2025-02-09T19:00:00,5.5966668128967285,5.75,5.75,-0.15333333611488342
2025-02-09T19:15:00,4.848333358764648,5.0,5.0,-0.15166667103767395
2025-02-09T19:30:00,4.881666660308838,5.0,5.0,-0.11833333224058151
2025-02-09T19:45:00,5.865833282470703,6.0,6.0,-0.1341666728258133
2025-02-09T20:00:00,5.386666774749756,5.5,5.5,-0.1133333370089531
2025-02-09T20:15:00,4.923333168029785,5.0,5.0,-0.07666666805744171
2025-02-09T20:30:00,5.207499980926514,5.25,5.25,-0.042500000447034836
2025-02-09T20:45:00,4.989166736602783,5.0,5.0,-0.010833333246409893
2025-02-09T21:00:00,3.998333215713501,4.0,4.0,-0.0016666667070239782
2025-02-09T21:15:00,3.5,3.5,3.5,-0.0
2025-02-09T21:30:00,3.75,3.75,3.75,-0.0
2025-02-09T21:45:00,4.25,4.25,4.25,-0.0
2025-02-09T22:00:00,4.0,4.0,4.0,-0.0
2025-02-09T22:15:00,4.5,4.5,4.5,-0.0
2025-02-09T22:30:00,4.5,4.5,4.5,-0.0
2025-02-09T22:45:00,4.25,4.25,4.25,-0.0
2025-02-09T23:00:00,4.25,4.25,4.25,-0.0
2025-02-09T23:15:00,4.5,4.5,4.5,-0.0
2025-02-09T23:30:00,4.0,4.0,4.0,-0.0
2025-02-09T23:45:00,3.5,3.5,3.5,-0.0
2025-02-10T00:00:00,3.25,3.25,3.25,-0.0
2025-02-10T00:15:00,3.0,3.0,3.0,-0.0
2025-02-10T00:30:00,3.0,3.0,3.0,-0.0
2025-02-10T00:45:00,3.5,3.5,3.5,-0.0
2025-02-10T01:00:00,3.25,3.25,3.25,-0.0
2025-02-10T01:15:00,3.5,3.5,3.5,-0.0
2025-02-10T01:30:00,3.25,3.25,3.25,-0.0
2025-02-10T01:45:00,3.5,3.5,3.5,-0.0
2025-02-10T02:00:00,3.75,3.75,3.75,-0.0
2025-02-10T02:15:00,3.25,3.25,3.25,-0.0
2025-02-10T02:30:00,4.0,4.0,4.0,-0.0
2025-02-10T02:45:00,3.75,3.75,3.75,-0.0
2025-02-10T03:00:00,4.25,4.25,4.25,-0.0
2025-02-10T03:15:00,4.25,4.25,4.25,-0.0
2025-02-10T03:30:00,4.25,4.25,4.25,-0.0
2025-02-10T03:45:00,4.0,4.0,4.0,-0.0
2025-02-10T04:00:00,4.25,4.25,4.25,-0.0
2025-02-10T04:15:00,3.25,3.25,3.25,-0.0
2025-02-10T04:30:00,3.25,3.25,3.25,-0.0
2025-02-10T04:45:00,3.0,3.0,3.0,-0.0
2025-02-10T05:00:00,3.0,3.0,3.0,-0.0
2025-02-10T05:15:00,3.5,3.5,3.5,-0.0
2025-02-10T05:30:00,3.238333225250244,3.25,3.25,-0.011666666716337204
2025-02-10T05:45:00,3.4800000190734863,3.5,3.5,-0.019999999552965164
2025-02-10T06:00:00,3.7191667556762695,3.75,3.75,-0.030833333730697632
2025-02-10T06:15:00,3.700833320617676,3.75,3.75,-0.04916666820645332
2025-02-10T06:30:00,4.669166564941406,4.75,4.75,-0.0808333307504654
